lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Sparsity	Final_Accuracy	Tot_time	Pr_time	Accuracy	Train_loss
0.01	0.7	0.001	300	200	64	0.05	0.9	0.0005	1.0	0	68.14	2:41:56.941222	2:04:18.195487	67.85	0.6406
0.1	0.7	0.5	300	200	64	0.05	0.9	0.0005	1.0	205348	59.74	2:47:41.863085	2:08:58.982798	56.81	1.7461
0.01	0.7	0.5	300	200	64	0.05	0.9	0.0005	1.0	4046	68.79	2:35:12.145248	2:01:13.900225	68.27	1.0256
0.01	1.0	0.0001	300	200	64	0.05	0.9	0.0005	1.0	5770	68.3	2:48:09.394851	2:10:32.206856	68.1	0.7876
0.01	1.0	0.1	300	200	64	0.05	0.9	0.0005	1.0	5202	69.58	2:42:51.361960	2:06:12.483903	69.16	0.99
0.01	1.0	0.01	300	200	64	0.05	0.9	0.0005	1.0	1154	68.88	2:43:39.394861	2:07:18.433496	68.33	0.8143
0.01	1.0	0.001	300	200	64	0.05	0.9	0.0005	1.0	1154	68.9	2:44:58.764633	2:07:54.733213	68.58	0.781
0.01	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	31808	68.91	2:40:24.068037	2:04:07.865976	68.57	1.212
0.01	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	26396	68.12	2:42:34.466963	2:06:00.022350	67.76	1.2305
0.01	1.0	0.005	300	200	64	0.05	0.9	0.0005	1.0	2308	69.24	2:48:52.049975	2:11:25.113605	68.93	0.7908
0.1	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	230836	55.34	2:37:41.898641	2:02:13.013383	48.09	1.8938
0.01	1.0	0.5	300	200	64	0.05	0.9	0.0005	1.0	27827	68.59	2:39:33.151279	2:03:39.994960	68.09	1.239
0.01	1.3	0.0001	300	200	64	0.05	0.9	0.0005	1.0	13848	68.92	2:48:48.206833	2:11:12.338349	68.57	0.8668
0.01	1.3	0.1	300	200	64	0.05	0.9	0.0005	1.0	33168	68.88	2:43:23.103755	2:07:02.661107	68.5	1.1213
0.01	1.3	0.01	300	200	64	0.05	0.9	0.0005	1.0	13848	68.64	2:44:30.769863	2:07:17.239681	68.22	0.9052
0.01	1.3	0.001	300	200	64	0.05	0.9	0.0005	1.0	11542	68.55	2:44:15.091012	2:07:11.798298	68.06	0.8621
